file,function
"QueueProcessing.gs","processQueueDateLegacy_"
"QueueProcessing.gs","processQueueDateLegacyV2_"
"TelegramBot.gs","doPostV1_"
"TelegramBot.gs","sendTelegramDailyQueueV1_"
"TelegramBot.gs","handleTelegramMessageLegacyV1_"
"TelegramBot.gs","handleTelegramCallbackV1_"
"TelegramBot.gs","setTelegramQueueDecisionLegacyV1_"
"TelegramBot.gs","buildTelegramReportTextLegacyV1_"
"TelegramBot.gs","telegramSendMessageV49_"
"TelegramBot.gs","telegramEditMessageV49_"
"TelegramBot.gs","telegramHelpTextLegacyV1_"
"TelegramBot.gs","handleTelegramMessageLegacyV4_"
"TelegramBot.gs","handleTelegramCallbackLegacyV4_"
"TelegramBot.gs","applyTelegramCalendarCancellationsForDateLegacyV4_"
"TelegramBot.gs","telegramHelpTextLegacyV4_"
"TelegramBot.gs","handleTelegramMessageV5_"
"TelegramBot.gs","buildTelegramMainKeyboardLegacyV5_"
"TelegramBot.gs","handleTelegramCallbackLegacyV5_"
"TelegramBot.gs","sendTelegramClientListV5_"
"TelegramBot.gs","getTelegramClientCardV5_"
"TelegramBot.gs","buildTelegramClientCardTextV5_"
"TelegramBot.gs","sendTelegramClientCardV5_"
"TelegramBot.gs","appendTelegramPaymentLegacyV5_"
"TelegramBot.gs","telegramHelpTextLegacyV5_"
"TelegramBot.gs","handleTelegramMessageV6_"
"TelegramBot.gs","handleTelegramCallbackV6_"
"TelegramBot.gs","buildTelegramMainKeyboardLegacyV6_"
"TelegramBot.gs","getTelegramClientCardLegacyV6_"
"TelegramBot.gs","getTelegramBlockTrainingHistoryLegacyV6_"
"TelegramBot.gs","buildTelegramClientCardTextLegacyV6_"
"TelegramBot.gs","sendTelegramClientCardLegacyV6_"
"TelegramBot.gs","telegramHelpTextLegacyV6_"
"TelegramBot.gs","getTelegramClientCardLegacyV7_"
"TelegramBot.gs","buildTelegramClientCardTextLegacyV7_"
"TelegramBot.gs","handleTelegramMessageV8_"
"TelegramBot.gs","handleTelegramCallbackV8_"
"TelegramBot.gs","createTelegramBlockRowLegacyV8_"
"TelegramBot.gs","sendTelegramClientListLegacyV8_"
"TelegramBot.gs","buildTelegramClientCardTextLegacyV8_"
"TelegramBot.gs","sendTelegramClientCardLegacyV8_"
"TelegramBot.gs","setTelegramBlockStatusLegacyV8_"
"TelegramBot.gs","telegramHelpTextLegacyV8_"
"TelegramBot.gs","handleTelegramMessageV9_"
"TelegramBot.gs","buildTelegramMainKeyboardLegacyV9_"
"TelegramBot.gs","telegramHelpTextLegacyV9_"
"TelegramBot.gs","buildTelegramMainKeyboardLegacyV12_"
"TelegramFinal.gs","handleTelegramCallbackV49_"
"TelegramFinal.gs","handleTelegramOpsCallbackV13_"
"TelegramFinal.gs","sendTelegramClientCardV13_"
"TelegramFinal.gs","sendTelegramClientListV13_"
"TelegramFinal.gs","handleTelegramOpsInputV13_"
"TelegramFinal.gs","myFunctionTelegramFinal_"
"TelegramScheduling.gs","myFunctionTelegramScheduling_"
"ZZTelegramArchive.gs","myFunctionTelegramArchive_"
"ZZTelegramArchive.gs","handleTelegramOpsCallbackV14_"
"ZZTelegramArchive.gs","sendTelegramClientCardV14_"
"ZZZTelegramBlockEdit.gs","myFunctionTelegramBlockEdit_"
"ZZZTelegramBlockEdit.gs","handleTelegramOpsCallbackV15_"
"ZZZTelegramBlockEdit.gs","sendTelegramClientCardV15_"
"ZZZTelegramBlockEdit.gs","handleTelegramOpsInputV15_"
"ZZZZTelegramUpcoming.gs","myFunctionTelegramUpcoming_"
"ZZZZTelegramUpcoming.gs","getTelegramUpcomingClientTrainingsLegacyV16_"
"ZZZZZZZRuntime.gs","myFunctionTelegramRuntime_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","getTelegramConfirmationState_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","putTelegramConfirmationState_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","getTelegramConfirmationPayload_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","createTelegramConfirmation_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","parseTelegramConfirmationCallback_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","validateTelegramConfirmation_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","getTelegramOperationLedger_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","appendTelegramOperationEvent_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","findTelegramOperationResult_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","beginTelegramSecureOperation_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","withTelegramDocumentLock_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","processTelegramSecureCallback_LegacyV50_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","describeTelegramLegacyMutation_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","upgradeTelegramLegacyMutation_"
"ZZZZZZZZZZZZTelegramConfirmations.gs","makeTelegramStateConfirmationPayload_LegacyV50_"
"ZZZZZZZZZZZZZOperationSafety.gs","cleanupDmsLegacyConfirmationTickets_"
