"label_expression","callback_before_security_sealing","file","renderer","line"
"'✅ ' + (index + 1)","'qd:' + item.queueId + ':done'","TelegramBot.gs","buildTelegramQueueDashboard_","413"
"'💸 ' + (index + 1)","'qd:' + item.queueId + ':charge'","TelegramBot.gs","buildTelegramQueueDashboard_","414"
"'🚫 ' + (index + 1)","'qd:' + item.queueId + ':free'","TelegramBot.gs","buildTelegramQueueDashboard_","415"
"'↔️ ' + (index + 1)","'qd:' + item.queueId + ':move'","TelegramBot.gs","buildTelegramQueueDashboard_","416"
"'✅ Подтвердить день'","'qp:' + dateKey","TelegramBot.gs","buildTelegramQueueDashboard_","422"
"'🔄 Обновить из календаря'","'qr:' + dateKey","TelegramBot.gs","buildTelegramQueueDashboard_","426"
"client.name","'cl:' + client.id","TelegramBot.gs","sendTelegramClientSearch_","1785"
"'✅ Записать'","'pc:yes'","TelegramBot.gs","handleTelegramPaymentAmount_","1941"
"'❌ Отмена'","'pc:no'","TelegramBot.gs","handleTelegramPaymentAmount_","1942"
"'👤 Карточка клиента'","'cl:' + state.clientId","TelegramBot.gs","confirmTelegramPayment_","1979"
"'🔙 Клиенты'","'clp:0'","TelegramBot.gs","confirmTelegramPayment_","1980"
"client.name","'sc:' + client.id","TelegramBot.gs","sendTelegramScheduleClientList_","2589"
"'◀️'","'slp:' + (page - 1)","TelegramBot.gs","sendTelegramScheduleClientList_","2594"
"(page + 1) + '/' + pageCount","'slp:' + page","TelegramBot.gs","sendTelegramScheduleClientList_","2595"
"'▶️'","'slp:' + (page + 1)","TelegramBot.gs","sendTelegramScheduleClientList_","2596"
"'Сегодня ' + dates[0]","'sdt:0'","TelegramBot.gs","sendTelegramScheduleDatePicker_","2631"
"'Завтра ' + dates[1]","'sdt:1'","TelegramBot.gs","sendTelegramScheduleDatePicker_","2632"
"dates[2]","'sdt:2'","TelegramBot.gs","sendTelegramScheduleDatePicker_","2635"
"'Другая дата'","'sdt:x'","TelegramBot.gs","sendTelegramScheduleDatePicker_","2636"
"'❌ Отмена'","'scc:no'","TelegramBot.gs","sendTelegramScheduleDatePicker_","2638"
"'60 минут'","'sdu:60'","TelegramBot.gs","handleTelegramScheduleInput_","2713"
"'90 минут'","'sdu:90'","TelegramBot.gs","handleTelegramScheduleInput_","2714"
"'120 минут'","'sdu:120'","TelegramBot.gs","handleTelegramScheduleInput_","2716"
"'❌ Отмена'","'scc:no'","TelegramBot.gs","handleTelegramScheduleInput_","2717"
"confirmText","confirmData","TelegramBot.gs","showTelegramScheduleConfirmation_","2790"
"'❌ Отмена'","'scc:no'","TelegramBot.gs","showTelegramScheduleConfirmation_","2791"
"'📅 Открыть день'","'qr:' + dateKey","TelegramBot.gs","confirmTelegramSchedule_","2874"
"'👤 Карточка клиента'","'cl:' + state.clientId","TelegramBot.gs","confirmTelegramSchedule_","2875"
"'5 тренировок'","'ncount:5'","TelegramBot.gs","sendTelegramBlockCountPrompt_","3607"
"'10 тренировок'","'ncount:10'","TelegramBot.gs","sendTelegramBlockCountPrompt_","3608"
"'Другое количество'","'ncount:x'","TelegramBot.gs","sendTelegramBlockCountPrompt_","3610"
"'❌ Отмена'","'mc:no'","TelegramBot.gs","sendTelegramBlockCountPrompt_","3611"
"formatTelegramMoney_(suggested)","'nprice:' + suggested","TelegramBot.gs","continueTelegramBlockPrice_","3651"
"'Другая стоимость'","'nprice:x'","TelegramBot.gs","continueTelegramBlockPrice_","3652"
"'❌ Отмена'","'mc:no'","TelegramBot.gs","continueTelegramBlockPrice_","3653"
"'Сегодня ' + Utilities.formatDate(now, timeZone, 'dd.MM')","'ndate:0'","TelegramBot.gs","continueTelegramBlockDate_","3689"
"'Завтра ' + Utilities.formatDate(tomorrow, timeZone, 'dd.MM')","'ndate:1'","TelegramBot.gs","continueTelegramBlockDate_","3690"
"'Другая дата'","'ndate:x'","TelegramBot.gs","continueTelegramBlockDate_","3692"
"'❌ Отмена'","'mc:no'","TelegramBot.gs","continueTelegramBlockDate_","3693"
"'🎟 Разовые'","'nt:single'","TelegramBot.gs","handleTelegramManagementInput_","3731"
"'📦 Сразу открыть блок'","'nt:block'","TelegramBot.gs","handleTelegramManagementInput_","3732"
"'❌ Отмена'","'mc:no'","TelegramBot.gs","handleTelegramManagementInput_","3733"
"'✅ Сохранить'","'mc:yes'","TelegramBot.gs","showTelegramManagementConfirmation_","3833"
"'❌ Отмена'","'mc:no'","TelegramBot.gs","showTelegramManagementConfirmation_","3834"
"'👤 Карточка клиента'","'cl:' + result.clientId","TelegramBot.gs","confirmTelegramManagementState_","3870"
"'🔙 Клиенты'","'clp:0'","TelegramBot.gs","confirmTelegramManagementState_","3871"
"'🎁 Добавить'","'mgc:' + card.id + ':' + card.blockId + ':' + card.blockTotal","TelegramBot.gs","showTelegramGiftConfirmation_","4089"
"'❌ Отмена'","'cl:' + card.id","TelegramBot.gs","showTelegramGiftConfirmation_","4092"
"'👤 Карточка клиента'","'cl:' + clientId","TelegramBot.gs","confirmTelegramGift_","4122"
"config.button","config.callback + card.id + ':' + card.blockId","TelegramBot.gs","showTelegramBlockStatusConfirmation_","4160"
"'❌ Отмена'","'cl:' + card.id","TelegramBot.gs","showTelegramBlockStatusConfirmation_","4161"
"'👤 Карточка клиента'","'cl:' + clientId","TelegramBot.gs","confirmTelegramBlockStatus_","4210"
"'👤 ' + client.name","'cl:' + client.id","TelegramBot.gs","sendTelegramAttentionCenter_","4735"
"'🩺 Состояние системы'","'ops:health'","TelegramFinal.gs","sendTelegramMoreMenu_","409"
"'⚙️ Настройки уведомлений'","'ops:settings'","TelegramFinal.gs","sendTelegramMoreMenu_","410"
"'↩️ Отменить последнее действие'","'ops:undo'","TelegramFinal.gs","sendTelegramMoreMenu_","411"
"'🧾 Последние действия'","'ops:audit'","TelegramFinal.gs","sendTelegramMoreMenu_","412"
"'🛡 Создать резервную копию'","'ops:backup'","TelegramFinal.gs","sendTelegramMoreMenu_","413"
"'📊 Отчёты по периодам'","'ops:reports'","TelegramFinal.gs","sendTelegramMoreMenu_","414"
"'🔄 Проверить ещё раз'","'ops:health'","TelegramFinal.gs","sendTelegramSystemHealth_","425"
"'🔙 Назад'","'ops:more'","TelegramFinal.gs","sendTelegramSystemHealth_","426"
"'🏠 Меню'","'nav:menu'","TelegramFinal.gs","sendTelegramSystemHealth_","427"
"mark(settings.morning) + ' Утро'","'ops:toggle:morning'","TelegramFinal.gs","sendTelegramSettings_","574"
"mark(settings.evening) + ' Вечер'","'ops:toggle:evening'","TelegramFinal.gs","sendTelegramSettings_","575"
"mark(settings.lowBalance) + ' Остатки'","'ops:toggle:lowBalance'","TelegramFinal.gs","sendTelegramSettings_","576"
"mark(settings.debt) + ' Долги'","'ops:toggle:debt'","TelegramFinal.gs","sendTelegramSettings_","577"
"'🔙 Назад'","'ops:more'","TelegramFinal.gs","sendTelegramSettings_","578"
"'Сегодня'","'ops:report:1'","TelegramFinal.gs","sendTelegramReportMenu_","700"
"'7 дней'","'ops:report:7'","TelegramFinal.gs","sendTelegramReportMenu_","701"
"'30 дней'","'ops:report:30'","TelegramFinal.gs","sendTelegramReportMenu_","702"
"'Текущий месяц подробно'","'ops:report:0'","TelegramFinal.gs","sendTelegramReportMenu_","703"
"'🔙 Назад'","'ops:more'","TelegramFinal.gs","sendTelegramReportMenu_","704"
"'↩️ Отменить оплату ' + lastConfirmed[0]","'ops:voidPayment:' + lastConfirmed[0]","TelegramFinal.gs","sendTelegramClientPaymentHistory_","845"
"'🔙 Карточка'","'cl:' + clientId","TelegramFinal.gs","sendTelegramClientPaymentHistory_","847"
"'🔙 Карточка'","'cl:' + clientId","TelegramFinal.gs","sendTelegramClientBlockHistory_","869"
"'👤 Карточка'","'cl:' + state.clientId","TelegramFinal.gs","confirmTelegramRenameClient_","939"
"'👤 Карточка'","'cl:' + state.clientId","TelegramFinal.gs","confirmTelegramSinglePrice_","957"
"'🗄 В архив'","'ops:archiveYes:' + clientId","TelegramFinal.gs","showTelegramArchiveClient_","965"
"'❌ Отмена'","'cl:' + clientId","TelegramFinal.gs","showTelegramArchiveClient_","966"
"'🔙 Клиенты'","'clp:0'","TelegramFinal.gs","confirmTelegramArchiveClient_","979"
"'↩️ Отменить оплату'","'ops:voidPaymentYes:' + operationId","TelegramFinal.gs","showTelegramVoidPayment_","993"
"'❌ Назад'","'ops:payments:' + values[2]","TelegramFinal.gs","showTelegramVoidPayment_","994"
"'👥 Клиенты'","'clp:0'","TelegramFinal.gs","confirmTelegramVoidPayment_","1009"
"'🔙 Назад'","'ops:more'","TelegramFinal.gs","showTelegramUndoConfirmation_","1329"
"'↩️ Отменить'","'ops:undoYes:' + item.id","TelegramFinal.gs","showTelegramUndoConfirmation_","1353"
"'❌ Назад'","'ops:more'","TelegramFinal.gs","showTelegramUndoConfirmation_","1354"
"'↩️ Отменить последнее'","'ops:undo'","TelegramFinal.gs","sendTelegramAuditHistory_","1454"
"'🔙 Назад'","'ops:more'","TelegramFinal.gs","sendTelegramAuditHistory_","1455"
"client.name + ' · ' + rest","'cl:' + client.id","ZZTelegramArchive.gs","sendTelegramClientList_","125"
"'◀️'","'clp:' + (page - 1)","ZZTelegramArchive.gs","sendTelegramClientList_","129"
"(page + 1) + '/' + pageCount","'clp:' + page","ZZTelegramArchive.gs","sendTelegramClientList_","130"
"'▶️'","'clp:' + (page + 1)","ZZTelegramArchive.gs","sendTelegramClientList_","131"
"'➕ Новый клиент'","'nc:start'","ZZTelegramArchive.gs","sendTelegramClientList_","135"
